file_name,label
0040491234-A_BANDS-S2-L1C.png,full
0040711607-A_BANDS-S2-L1C.png,full
0040819014-A_BANDS-S2-L1C.png,full
0040819115-A_BANDS-S2-L1C.png,full
0050056343-A_BANDS-S2-L1C.png,full
0050122728-A_BANDS-S2-L1C.png,full
0050247313-A_BANDS-S2-L1C.png,full
0050251454-B_BANDS-S2-L1C.png,full
0050252464-A_BANDS-S2-L1C.png,full
0050318950-A_BANDS-S2-L1C.png,full
0050318950-B_BANDS-S2-L1C.png,full
0050412920-B_BANDS-S2-L1C.png,full
0050478901-A_BANDS-S2-L1C.png,full
0050609849-A_BANDS-S2-L1C.png,full
0050610051-A_BANDS-S2-L1C.png,full
0050654814-A_BANDS-S2-L1C.png,full
0050734636-A_BANDS-S2-L1C.png,full
0090004377-A_BANDS-S2-L1C.png,full
0090004478-A_BANDS-S2-L1C.png,full
0090004781-A_BANDS-S2-L1C.png,full
0090041662-A_BANDS-S2-L1C.png,full
0090041864-A_BANDS-S2-L1C.png,full
0090042167-A_BANDS-S2-L1C.png,full
0090042268-A_BANDS-S2-L1C.png,full
0090104916-A_BANDS-S2-L1C.png,full
0090131184-A_BANDS-S2-L1C.png,full
0090141086-A_BANDS-S2-L1C.png,full
0090141187-A_BANDS-S2-L1C.png,full
0090141490-A_BANDS-S2-L1C.png,full
0090167358-A_BANDS-S2-L1C.png,full
0090167661-A_BANDS-S2-L1C.png,full
0090167964-A_BANDS-S2-L1C.png,full
0090200906-A_BANDS-S2-L1C.png,full
0090258500-A_BANDS-S2-L1C.png,full
0090258803-A_BANDS-S2-L1C.png,full
0090267287-A_BANDS-S2-L1C.png,full
0090291337-B_BANDS-S2-L1C.png,full
0090294973-A_BANDS-S2-L1C.png,full
0090359641-A_BANDS-S2-L1C.png,full
0090359742-A_BANDS-S2-L1C.png,full
0090369947-A_BANDS-S2-L1C.png,full
0090377324-A_BANDS-S2-L1C.png,full
0090377425-A_BANDS-S2-L1C.png,full
0090399047-A_BANDS-S2-L1C.png,full
