file_name,label,file_name_tiff,triton_path
0040491234-A_BANDS-S2-L1C.png,full,0040491234-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset1/0040491234-A_BANDS-S2-L1C.tiff
0040711607-A_BANDS-S2-L1C.png,full,0040711607-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset2/0040711607-A_BANDS-S2-L1C.tiff
0040819014-A_BANDS-S2-L1C.png,full,0040819014-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset6/0040819014-A_BANDS-S2-L1C.tiff
0040819115-A_BANDS-S2-L1C.png,full,0040819115-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset4/0040819115-A_BANDS-S2-L1C.tiff
0050056343-A_BANDS-S2-L1C.png,full,0050056343-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset6/0050056343-A_BANDS-S2-L1C.tiff
0050122728-A_BANDS-S2-L1C.png,full,0050122728-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset5/0050122728-A_BANDS-S2-L1C.tiff
0050247313-A_BANDS-S2-L1C.png,full,0050247313-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset5/0050247313-A_BANDS-S2-L1C.tiff
0050251454-B_BANDS-S2-L1C.png,full,0050251454-B_BANDS-S2-L1C.tiff,2_data/03_data/dataset4/0050251454-B_BANDS-S2-L1C.tiff
0050252464-A_BANDS-S2-L1C.png,full,0050252464-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset4/0050252464-A_BANDS-S2-L1C.tiff
0050318950-A_BANDS-S2-L1C.png,full,0050318950-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset6/0050318950-A_BANDS-S2-L1C.tiff
0050318950-B_BANDS-S2-L1C.png,full,0050318950-B_BANDS-S2-L1C.tiff,2_data/03_data/dataset2/0050318950-B_BANDS-S2-L1C.tiff
0050412920-B_BANDS-S2-L1C.png,full,0050412920-B_BANDS-S2-L1C.tiff,2_data/03_data/dataset1/0050412920-B_BANDS-S2-L1C.tiff
0050478901-A_BANDS-S2-L1C.png,full,0050478901-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset6/0050478901-A_BANDS-S2-L1C.tiff
0050609849-A_BANDS-S2-L1C.png,full,0050609849-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset5/0050609849-A_BANDS-S2-L1C.tiff
0050610051-A_BANDS-S2-L1C.png,full,0050610051-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset4/0050610051-A_BANDS-S2-L1C.tiff
0050654814-A_BANDS-S2-L1C.png,full,0050654814-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset6/0050654814-A_BANDS-S2-L1C.tiff
0050734636-A_BANDS-S2-L1C.png,full,0050734636-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset5/0050734636-A_BANDS-S2-L1C.tiff
0090004377-A_BANDS-S2-L1C.png,full,0090004377-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset4/0090004377-A_BANDS-S2-L1C.tiff
0090004478-A_BANDS-S2-L1C.png,full,0090004478-A_BANDS-S2-L1C.tiff,2_data/03_data/dataset5/0090004478-A_BANDS-S2-L1C.tiff
